sep=;
Instancia;Jobs;Maquinas;Makespan LPT;Makespan SPT;Makespan MWKR;Melhor
abz5Jsp.psi;10;10;4604;4395;1451;MWKR 
abz6Jsp.psi;10;10;3700;3441;1288;MWKR 
abz7Jsp.psi;20;15;3785;3979;955;MWKR 
abz8Jsp.psi;20;15;4449;3702;1102;MWKR 
abz9Jsp.psi;20;15;3799;4029;1097;MWKR 
ft06Jsp.psi;6;6;133;108;74;MWKR 
ft10Jsp.psi;10;10;2860;2569;1289;MWKR 
ft20Jsp.psi;20;5;2603;2765;1955;MWKR 
la01Jsp.psi;10;5;1996;1464;880;MWKR 
la02Jsp.psi;10;5;1908;1943;982;MWKR 
la03Jsp.psi;10;5;1211;1053;797;MWKR 
la04Jsp.psi;10;5;1687;1491;1000;MWKR 
la05Jsp.psi;10;5;1597;1521;666;MWKR 
la06Jsp.psi;15;5;2511;2372;1151;MWKR 
la07Jsp.psi;15;5;2456;1823;1108;MWKR 
la08Jsp.psi;15;5;2348;2309;1278;MWKR 
la09Jsp.psi;15;5;2332;2638;1270;MWKR 
la10Jsp.psi;15;5;2255;2149;1224;MWKR 
la11Jsp.psi;20;5;3262;3091;1552;MWKR 
la12Jsp.psi;20;5;2722;2359;1276;MWKR 
la13Jsp.psi;20;5;3057;2691;1371;MWKR 
la14Jsp.psi;20;5;3189;3264;1450;MWKR 
la15Jsp.psi;20;5;3086;3179;1614;MWKR 
la16Jsp.psi;10;10;3050;3492;1443;MWKR 
la17Jsp.psi;10;10;3033;3153;1135;MWKR 
la18Jsp.psi;10;10;3491;2788;1130;MWKR 
la19Jsp.psi;10;10;3056;3613;1188;MWKR 
la20Jsp.psi;10;10;3242;3029;1404;MWKR 
la21Jsp.psi;15;10;5595;4968;1494;MWKR 
la22Jsp.psi;15;10;4292;4106;1428;MWKR 
la23Jsp.psi;15;10;5006;4189;1576;MWKR 
la24Jsp.psi;15;10;4408;4277;1693;MWKR 
la25Jsp.psi;15;10;5331;4394;1495;MWKR 
la26Jsp.psi;20;10;5103;6765;1792;MWKR 
la27Jsp.psi;20;10;5939;6818;1918;MWKR 
la28Jsp.psi;20;10;5508;6224;2058;MWKR 
la29Jsp.psi;20;10;5621;5022;1674;MWKR 
la30Jsp.psi;20;10;5353;5409;1898;MWKR 
la31Jsp.psi;30;10;9248;8469;2328;MWKR 
la32Jsp.psi;30;10;9510;8296;2676;MWKR 
la33Jsp.psi;30;10;9861;7124;2600;MWKR 
la34Jsp.psi;30;10;9237;8384;2381;MWKR 
la35Jsp.psi;30;10;8846;7277;2602;MWKR 
la36Jsp.psi;15;15;6465;7510;1981;MWKR 
la37Jsp.psi;15;15;6675;7849;2087;MWKR 
la38Jsp.psi;15;15;5801;6455;1860;MWKR 
la39Jsp.psi;15;15;6021;6195;1778;MWKR 
la40Jsp.psi;15;15;7428;6098;1977;MWKR 
orb01Jsp.psi;10;10;3006;2695;1716;MWKR 
orb02Jsp.psi;10;10;2803;2378;1128;MWKR 
orb03Jsp.psi;10;10;2440;2420;1701;MWKR 
orb04Jsp.psi;10;10;3744;3082;1369;MWKR 
orb05Jsp.psi;10;10;2999;2167;1436;MWKR 
orb06Jsp.psi;10;10;3029;2530;1704;MWKR 
orb07Jsp.psi;10;10;1555;1370;666;MWKR 
orb08Jsp.psi;10;10;2359;1813;1754;MWKR 
orb09Jsp.psi;10;10;4088;3321;1262;MWKR 
orb10Jsp.psi;10;10;3198;2829;1726;MWKR 
swv01Jsp.psi;20;10;4386;4190;2622;MWKR 
swv02Jsp.psi;20;10;4969;4291;2526;MWKR 
